fid,observer,notes,dateobserved,species,status,scientificName,dateModified,tree_id,point_id
"45",KRN,,2021/03/28 16:58:03+00,Senegal Date Palm,Located,,,"11","45"
"46",KRN,Confirm ID and if sign is present,2021/03/28 17:47:57+00,Green Mallee,No sign,,,"65","46"
"47",KRN,No sign. Is this the location?,2021/03/28 18:00:04+00,California Coffee Berry,No sign,,,"84","47"
"48",KRN,No sign. Is this the location?,2021/03/28 18:06:13+00,Japanese Maple,No sign,,,"93","48"
"49",KRN,Tree trimmed. No sign,2021/03/28 18:11:26+00,Mimosa (Silk Tree),No sign,,,"29","49"
"50",KRN,No sign ,2021/03/28 18:29:56+00,Crimson Spire,No sign,,,"37","50"
"51",KRN,Removed,2021/03/28 18:42:02+00,Lemonade Berry,Other,,2025/05/28 10:37:42.378+00,"4","51"
"52",KRN,Myoporum. Add to list,2021/03/28 17:39:08+00,Myoporum,New species,,,"104","52"
"53",KRN,,2021/03/28 16:37:38+00,Brazilian Pepper Tree,Located,,,"8","53"
"54",KRN,,2021/03/28 16:38:46+00,Prickly Paperbark,Located,,,"70","54"
"55",KRN,,2021/03/28 16:44:25+00,Norfolk Island Pine,Located,,,"9","55"
"56",KRN,,2021/03/28 16:46:40+00,Giant Yucca,Located,,,"2","56"
"57",KRN,,2021/03/28 16:47:44+00,White Ironbark,Located,,,"53","57"
"58",KRN,,2021/03/28 16:48:00+00,Flooded Gum,Located,,,"52","58"
"59",KRN,,2021/03/28 16:48:49+00,Southern Magnolia,Located,,,"42","59"
"60",KRN,,2021/03/28 16:49:16+00,Silk Oak,Located,,,"83","60"
"61",KRN,,2021/03/28 16:50:00+00,Desert Gum,Located,,,"59","61"
"62",KRN,,2021/03/28 16:53:03+00,Horsetail Tree (Common Ironwood),Located,,,"18","62"
"63",KRN,,2021/03/28 16:54:42+00,Saucer Magnolia,Located,,,"43","63"
"64",KRN,,2021/03/28 16:55:15+00,Torrey Pine,Located,,,"79","64"
"65",KRN,,2021/03/28 16:58:42+00,Strawberry Tree,Located,,,"26","65"
"66",KRN,,2021/03/28 17:01:29+00,California Pepper Tree,Located,,,"7","66"
"67",KRN,,2021/03/28 17:02:34+00,Tomlinson Ash,Located,,,"71","67"
"68",KRN,,2021/03/28 17:03:25+00,American Sweetgum,Located,,,"38","68"
"69",KRN,,2021/03/28 17:04:02+00,Mission Olive,Located,,,"72","69"
"70",KRN,,2021/03/28 17:04:50+00,Sydney Blue Gum,Located,,,"60","70"
"71",KRN,,2021/03/28 17:05:27+00,Toyon,Located,,,"86","71"
"72",KRN,,2021/03/28 17:05:58+00,Silver Dollar Gum,Located,,,"57","72"
"73",KRN,,2021/03/28 16:33:14+00,Western Redbud,Located,,,"30","73"
"74",KRN,,2021/03/28 16:25:50+00,Cork Oak,Located,,2025/05/28 09:45:15.768+00,"33","74"
"75",KRN,,2021/03/28 15:51:44+00,Western Sycamore,Located,,,"81","75"
"76",KRN,,2021/03/28 15:56:06+00,Chinese Pistache,Located,,,"3","76"
"77",KRN,Removed,2021/03/28 16:12:15+00,Pomegranate,Other,,2025/05/28 10:38:26.982+00,"41","77"
"78",KRN,Removed,2021/03/28 16:11:02+00,Sugar Bush,Other,,2025/05/28 10:37:27.518+00,"6","78"
"79",KRN,,2021/03/28 16:07:37+00,Kurrajong,Located,,,"45","79"
"80",KRN,,2021/03/28 16:54:21+00,Canary Island Palm,Located,,,"10","80"
"81",KRN,,2021/03/28 17:34:23+00,Red Spotted Gum,Located,,,"54","81"
"82",KRN,,2021/03/28 17:53:05+00,Carrotwood Tree,Located,,,"95","82"
"83",KRN,,2021/03/28 18:08:58+00,Crape Myrtle,Located,,,"40","83"
"84",KRN,,2021/03/28 18:13:08+00,Willow Peppermint,Located,,,"48","84"
"85",KRN,,2021/03/28 18:19:04+00,Tasmanian Blue Gum,Located,,,"51","85"
"86",KRN,,2021/03/28 18:20:01+00,African Sumac,Located,,,"5","86"
"87",KRN,,2021/03/28 18:21:45+00,Atlas Cedar,Located,,,"73","87"
"88",KRN,,2021/03/28 18:32:49+00,Yellow Box,Located,,,"55","88"
"89",KRN,,2021/03/28 18:34:07+00,Manna Gum,Located,,,"64","89"
"90",KRN,Removed,2021/03/28 18:40:06+00,Pacific Wax Myrtle,Other,,2025/05/28 10:38:13.150+00,"101","90"
"91",KRN,,2021/03/28 18:49:22+00,California Black Walnut,Located,,,"39","91"
"92",KRN,,2021/03/28 18:53:50+00,Oriental Arborvitae,Located,,,"23","92"
"93",KRN,,2021/03/28 18:52:28+00,Loquat,Located,,,"85","93"
"94",KRN,,2021/03/28 18:37:16+00,Pineapple Guava,Located,,,"66","94"
"95",KRN,,2021/03/28 17:41:12+00,Chinese Windmill Palm,Located,,,"13","95"
"96",,Needs sign. New species,2025/05/28 09:27:49.731+00,Pear,New species,,2025/05/28 19:13:49.872+00,"90","96"
"97",,,2025/05/28 09:51:24.825+00,Italian cypress,No sign,,2025/05/28 19:13:50.002+00,"20","97"
"98",,,2025/05/28 10:46:49.024+00,Aleppo Pine,New species,,2025/05/28 19:13:50.303+00,"103","98"
"99",,,2025/05/28 10:52:07.956+00,,New species,Pyrus calleryana,2025/05/28 19:13:50.329+00,"90","99"
